"trial","ref_position","var_area","response","correct","rt"
1,"L",14.5991087842267,"R",TRUE,4.85599994659424
2,"R",8.53803753620014,"R",TRUE,2.39400005340576
3,"R",11.3370339039247,"L",TRUE,1.92400002479553
4,"R",10.7422402875964,"L",TRUE,2.13299989700317
5,"R",11.5356327388436,"L",TRUE,1.80899977684021
6,"L",11.142640582053,"R",TRUE,1.59000015258789
7,"L",8.97888537077233,"R",FALSE,1.98099994659424
8,"R",11.1842563634273,"L",TRUE,1.867999792099
9,"R",13.1238294828217,"L",TRUE,2.08400011062622
10,"R",11.0353489511181,"R",FALSE,2.7409999370575
11,"R",10.1166350312997,"L",TRUE,3.2260000705719
12,"L",11.9140686099418,"R",TRUE,1.95199990272522
13,"R",11.8819791562855,"L",TRUE,1.88899993896484
hu
